,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Thiamine,0.022293357551699824,-0.0002829170302703414,0.019821560799729424,0.02994558287387424,0.051258533556857694,-0.0012831811944652302,-0.04203645804355096,0.029723253248732987,-0.051090457739044005,0.024055646662951242
"1,7-Dimethyluric acid",0.0327962270844311,0.02250590123935065,0.018996547515217295,-0.0029957231818294548,-0.021325468957335444,0.009713687436974655,0.016191376948538838,-0.05347433448778806,-0.008459114930656835,0.013790450245067986
2-(acetylamino)-3-(1H-indol-3-yl)propanoic acid,-0.02184141191028901,0.019796870675960004,-0.005506307731570048,0.012552675506447791,-0.023469065654478684,-0.015400854978916304,-0.034933350735211706,-0.01686227691808772,0.002081900080258564,0.00721864368690691
Pyridoxine,-0.0027367947929948905,0.010381675102476333,0.023706205033452138,0.01233878782958696,0.0221879227561074,-0.01849736286804998,-0.00704676091652214,0.005511331713690203,-0.04699342527161346,0.016258862770662727
Enalaprilat,0.0020272050457843765,0.004760233504370094,-0.007820849974201561,0.030640158410294112,-0.014834592277914633,0.011449137098230765,-0.009476270376677046,-0.027775424846341993,-0.017271802423046295,0.010072399371565816
Uracil,0.009435089282447198,0.005807817862339154,0.011691345686696025,-0.030662160619790754,0.004122843732834364,-0.014022996960735334,-0.013450257617648986,0.029129318212082266,-0.01636213636236044,0.029314823236849138
1-Methyladenosine,0.02822859498537565,0.002619282373858567,0.03040388297763088,-0.010194891245828118,-0.006411324959000601,-0.003398851155862457,0.01594722889747116,0.036744678847737966,0.0054857385460203335,-0.018001589648680413
Paracetamol,0.00567700894754146,-0.003693977781446658,-0.0023184364305054786,-0.008639295025099513,0.006746827519834942,-0.00682152883997686,0.009080880321916146,-0.014644472253426983,-0.024028245312965307,-0.017235326693449803
N-Phenylacetylglutamine,-0.012162794823856855,0.029187914414437178,0.001701639325259752,0.035870836570434564,-0.022881380084887572,-0.011274304620390405,-0.05514775082080625,4.540235355381886e-05,0.010186822906360428,-0.008716063315518396
Mesalamine,0.022556272182732907,0.01589519292906496,0.0034455482994941488,0.010335135210852154,-0.005685417601434974,-0.0011164549045406197,0.00815598727647489,0.001003424758727181,0.008945518121952737,-0.006101495343405437
Serotonin,-0.016238725051471756,0.0033845653068915902,0.009613266660068684,0.0072718645936469435,-0.026692678829833325,-0.006761765766144222,-0.004365256797484881,-0.00989168852858218,0.005873959637119253,-0.01415666266218649
Isoferulic acid,-0.008685371371781906,0.013464805900352638,0.003901811037287566,-0.014310497562276517,0.03634239608877563,-0.012245866431823134,0.02200274050483098,-0.004584947754431152,0.03603894816985286,-0.0023362407347551624
Glycyl-L-leucine,-0.010265344255734957,-0.0008125383268533372,0.028111110643194628,0.025727903595719137,-0.025604190971616717,-0.033213362698332825,0.009790759925514925,0.001072266035455162,0.026289539897596886,-0.004960774720175637
Adenine,-0.007827767630184734,0.026921469388491038,0.00760198944797065,0.01609312809533655,-0.005330326684756696,-0.01066958435043999,-0.0490149810579603,0.010636003565319834,-0.0380735634270938,0.035228248894020556
N-Acetyl-L-leucine,-0.003199603157768929,-0.0010650503694426946,-0.016780898213294496,0.014638617378769928,-0.03448861109612507,-0.023200758106862646,-0.022326191984911484,-0.00016351833428949493,-0.017226291431861603,0.011851294490015762
Glycerophospho-N-palmitoyl ethanolamine,-0.004447725158266298,0.020575233519111155,0.030861757484018208,-0.024838079797167296,0.010604200871058986,-0.021711448691640683,-0.027020243370933818,0.05429108130349603,0.023619069684663086,-0.012222862973785466
Naringenin,-0.02397874609776042,0.040651193017104716,0.013217062829011918,0.0034782051373204834,0.01077114458097203,0.005099638387710145,0.009783742839451472,-0.00018518543778246345,0.014306180865019722,-0.027769953587126243
Kynurenic acid,0.004193174326322431,0.014088664626582207,0.013118685475999385,0.002536878314703781,0.0011195613165104865,-0.021462036866991916,-0.03486510780921255,-0.03605589617818102,-0.019574775411334507,-0.04342453961303889
Caffeic acid,0.022062074255781154,0.02476422830494708,0.0015824815265647759,0.0005008879969415886,0.014728678956206899,-0.00014070490953178744,-0.006023988019147076,-0.03923289523894283,0.020162241926882773,-0.013993629199592315
N-Acetylhistamine,-0.021813112457981832,0.007936272100750394,0.04013330448994521,0.014183145051350111,-0.01591964527397565,-0.011538815989602222,-0.028310241687764956,-0.022557724395694197,0.0438378611431218,0.03013962108110443
